m,mean_ret_bps,std_ret_bps,mean_vol
68,0.03480721665792615,5.82819254380135,162182.47632575757
69,0.1819979902493964,5.404435390914653,157745.52651515152
70,0.4342817633343599,5.654419481888202,164592.66193181818
71,0.15418759895795275,5.481549443343956,159117.26799242425
72,-0.3827573026862363,5.309330508527871,159361.73674242425
73,0.0029843362098476976,5.190949747108383,153928.36174242425
74,-0.08869724484203002,5.365646159815674,158069.5606060606
75,0.02778844091802555,5.331944540630397,163553.78787878787
76,0.24534920345412237,5.740219491788564,156765.05113636365
77,0.09534305882115422,5.1566583483294,152439.86931818182
78,-0.038526911320495294,5.280945123840694,149374.63920454544
79,0.11308648017111102,5.069096994850494,150553.10984848486
80,-0.8715820042366057,5.6837201741385455,158273.91382575757
81,-0.18940809002685982,5.4467305931395735,152225.0331439394
82,-0.10916172149727257,5.158793443358723,154474.80303030304
83,-0.29656701024628246,5.247096169522974,208760.83522727274
84,0.2421456076427518,4.888322171975219,143211.64962121213
85,0.027837672473250107,5.0812320515446405,148421.02746212122
86,-0.010181987860475339,4.872449029395969,144358.4356060606
87,-0.23879954551646804,4.9394620566857546,141555.72537878787
88,-0.15961989671658014,5.087543944003769,144044.35890151514
89,0.054448559412580734,4.743294089075546,143877.58806818182
90,0.697779881512286,5.39056756681903,170068.43087121213
91,-0.25116161634003537,5.487588109683832,142350.32481060605
92,-0.32269550075564607,5.071751499693657,151910.44602272726
93,-0.27310036947726213,5.194985731929532,145958.24242424243
94,0.11811944857132493,4.717211197729885,142789.4971590909
95,-0.1013403767563831,5.11079709330848,144457.60321969696
96,0.4313555561984728,5.396424993640293,144548.14962121213
97,0.23213204833153955,5.260426410823632,146522.01799242425
98,-0.030268671437287044,4.800458671578599,138694.07765151514
99,0.23404122467773839,4.828160822087111,137752.83238636365
100,0.11550146073372156,5.1857379627758196,139985.06818181818
101,-0.012577590009582373,5.150711000928206,142726.64867424243
102,0.12122190312245062,4.853865353280385,138533.71117424243
103,0.050570518918228474,4.911347597641256,135470.49194312797
104,-0.09221084889161539,4.660564337538195,133237.68530805688
105,-0.4878017624350434,4.959244337723939,141967.31848341232
106,-0.22182415443486223,5.081888957934654,144410.31563981043
107,0.0726091055071785,4.736274688911017,140050.30236966824
108,0.48676039221998896,4.634702277134941,133089.2559241706
109,0.03810284947864235,4.462117175232809,132649.33933649288
110,0.10546001129705185,5.014449423888513,136815.10995260664
111,-0.3137439885391532,4.899728972888108,137088.47867298577
112,-0.14954492615385911,4.767090805716566,140993.81990521328
113,-0.161734823871736,4.653641523961665,132615.85971563982
114,0.07487388565788568,4.460302153265415,127219.68436018957
115,-0.25315597443306365,4.6997801140191,136449.70426540283
116,-0.13408875844593227,4.8606437877476765,132699.51469194313
117,-0.019697588857290785,4.350944158376542,129802.92687559355
118,-0.13167100849840888,4.499278168076234,127540.24786324786
119,-0.16230266483289593,4.336852522020964,135185.5764482431
120,0.41087009696465754,5.153845840060625,140660.94017094016
121,0.02444922486146973,4.849783490431121,129679.01424501424
122,0.11789914456426161,4.754478314128792,130440.44444444444
123,0.13459881257586623,4.453238284565656,124601.41690408357
