label,threshold,sizing,periods_per_year,symbol,cost_label,round_trip_bps,strat_sharpe_ratio,strat_sortino_ratio,strat_max_drawdown,strat_cagr,strat_calmar_ratio,strat_win_rate,strat_profit_factor,strat_total_trades,strat_initial_capital,strat_final_capital,strat_total_return,strat_periods_per_year,strat_alpha,strat_beta,strat_exposure,strat_n_entries,strat_trades_per_day,strat_turnover_per_day,strat_n_days,bh_sharpe_ratio,bh_sortino_ratio,bh_max_drawdown,bh_cagr,bh_calmar_ratio,bh_win_rate,bh_profit_factor,bh_total_trades,bh_initial_capital,bh_final_capital,bh_total_return,bh_periods_per_year,bh_alpha,bh_beta,bh_exposure,bh_n_entries,bh_trades_per_day,bh_turnover_per_day,bh_n_days,sharpe_edge,beats_benchmark
AMZN/low_2bp,0.5,binary,98280,AMZN,low_2bp,4.0,-1.7937585683045392,-2.0571737290175887,0.3737347873127811,-0.2859728330738027,-0.7651758487081113,0.0,0.0,0,100000.0407000407,66145.91636600689,-0.3385411055539703,98280,-0.32110505432606123,0.2808490736209762,0.19970479215211495,1188,3.819935691318328,7.636655948553055,311.0,-0.06651743610014196,-0.06685481067002806,0.32617122126130704,-0.053712797188972594,-0.16467669030169102,0.0,0.0,0,100000.0407000407,93450.04566122516,-0.06549992372965985,98280,-0.00016293223021234308,0.9999958149639401,0.9999917076447223,1,0.003215434083601286,0.003215434083601286,311.0,-1.7272411322043972,False
AMZN/mid_5bp,0.5,binary,98280,AMZN,mid_5bp,10.0,-4.692076626922011,-5.3322739909026176,0.6902957659649784,-0.6005561093065335,-0.8699982513539017,0.0,0.0,0,100000.0407000407,32431.90602274695,-0.6756810717704662,98280,-0.9017764541206686,0.2807539099173601,0.19970479215211495,1188,3.819935691318328,7.636655948553055,311.0,-0.06716958072649283,-0.06750988020528939,0.32617122126130776,-0.053943376033284474,-0.1653836160795696,0.0,0.0,0,100000.0407000407,93422.1060121598,-0.06577932010659893,98280,-0.000407330575658079,0.9999895374098438,0.9999917076447223,1,0.003215434083601286,0.003215434083601286,311.0,-4.624907046195519,False
AMZN/high_10bp,0.5,binary,98280,AMZN,high_10bp,20.0,-9.379484135658231,-10.470686660933758,0.904705413322463,-0.8483452919344072,-0.9377033445825449,0.0,0.0,0,100000.0407000407,9882.83833398158,-0.9011716568833601,98280,-1.8695621204451809,0.28059530374466696,0.19970479215211495,1188,3.819935691318328,7.636655948553055,311.0,-0.06825642581091625,-0.06860166276394837,0.32617122126131237,-0.054327702464102456,-0.16656191264825834,0.0,0.0,0,100000.0407000407,93375.5399303889,-0.06624498073478391,98280,-0.0008146611513598545,0.9999790748196901,0.9999917076447223,1,0.003215434083601286,0.003215434083601286,311.0,-9.311227709847314,False
AMZN/lab_default_15bp,0.5,binary,98280,AMZN,lab_default_15bp,30.0,-13.766953967322316,-15.071088630253486,0.9707306975248675,-0.9424499829773225,-0.9708665702860184,0.0,0.0,0,100000.0407000407,3009.7647456712157,-0.9699023647930376,98280,-2.8373477867696413,0.28043669757197265,0.19970479215211495,1188,3.819935691318328,7.636655948553055,311.0,-0.06934318851756169,-0.06969344532244454,0.32617122126131676,-0.05471206435927334,-0.16774031794619912,0.0,0.0,0,100000.0407000407,93328.97384862497,-0.06671064136289906,98280,-0.0012219917270008213,0.9999686122295324,0.9999917076447223,1,0.003215434083601286,0.003215434083601286,311.0,-13.697610778804753,False
META/frictionless,0.5,binary,98280,META,frictionless,0.0,-0.5174547858838445,-0.6126333846852052,0.3186508130006042,-0.13973536865476677,-0.43852192730637035,0.0,0.0,0,100000.0407000407,83137.07898939398,-0.16862954847417233,98280,-0.1352706322566485,0.5148809982916651,0.26684247188775,1192,3.832797427652733,7.662379421221865,311.0,0.02765996573822248,0.028839203657500714,0.35191211385670673,-0.028756598220772034,-0.0817152836985921,0.0,0.0,0,100000.0407000407,96483.25215557126,-0.035167871131356554,98280,4.215389481568429e-14,1.0000000000000002,0.9999917073008923,1,0.003215434083601286,0.003215434083601286,311.0,-0.545114751622067,False
META/ultra_low_1bp,0.5,binary,98280,META,ultra_low_1bp,2.0,-1.1919943517844622,-1.408235537241173,0.3993157405243094,-0.29159631771027217,-0.7302399783374441,0.0,0.0,0,100000.0407000407,65508.41733295998,-0.34491609328981687,98280,-0.3294846650502241,0.5148101683095471,0.26684247188775,1192,3.832797427652733,7.662379421221865,311.0,0.02745681006879885,0.02862737886305841,0.3519121138567135,-0.028835789311905446,-0.08194031457424164,0.0,0.0,0,100000.0407000407,96473.59976015249,-0.035264395046259,98280,-8.151224662081114e-05,1.00000021378855,0.9999917073008923,1,0.003215434083601286,0.003215434083601286,311.0,-1.219451161853261,False
META/low_2bp,0.5,binary,98280,META,low_2bp,4.0,-1.865967113793493,-2.2099659923464894,0.519208734367616,-0.4166608617675942,-0.8024920117630094,0.0,0.0,0,100000.0407000407,51616.5652044098,-0.48383455803544695,98280,-0.523698697844021,0.5147393383274316,0.26684247188775,1192,3.832797427652733,7.662379421221865,311.0,0.02725365311651952,0.02841555118434173,0.3519121138567167,-0.0289149818687916,-0.08216534961500223,0.0,0.0,0,100000.0407000407,96463.94736473486,-0.0353609189611499,98280,-0.00016302449327397392,1.000000427577101,0.9999917073008923,1,0.003215434083601286,0.003215434083601286,311.0,-1.8932207669100125,False
META/mid_5bp,0.5,binary,98280,META,mid_5bp,10.0,-3.879875728813627,-4.572105702546559,0.7604090982366714,-0.6743197690308314,-0.8867855087406576,0.0,0.0,0,100000.0407000407,25246.603228630298,-0.7475340704674331,98280,-1.1063407962250935,0.5145268483810773,0.26684247188775,1192,3.832797427652733,7.662379421221865,311.0,0.026644174871402287,0.027780051536772713,0.3519121138567128,-0.029152568335622076,-0.08284047973265296,0.0,0.0,0,100000.0407000407,96434.99017849898,-0.03565049070565296,98280,-0.00040756123308968527,1.0000010689427534,0.9999917073008923,1,0.003215434083601286,0.003215434083601286,311.0,-3.9065199036850293,False
META/high_10bp,0.5,binary,98280,META,high_10bp,20.0,-7.182906345377772,-8.359435561424586,0.9265369410730193,-0.8767634173120921,-0.9462800439415997,0.0,0.0,0,100000.0407000407,7662.1765784665795,-0.9233782654004113,98280,-2.0774109601936503,0.5141726984704909,0.26684247188775,1192,3.832797427652733,7.662379421221865,311.0,0.02562835501856694,0.02672083424842062,0.3519121138567185,-0.029548575112109288,-0.08396577994510308,0.0,0.0,0,100000.0407000407,96386.72820140293,-0.036133110280187064,98280,-0.0008151224664221586,1.000002137885504,0.9999917073008923,1,0.003215434083601286,0.003215434083601286,311.0,-7.2085347003963385,False
META/lab_default_15bp,0.5,binary,98280,META,lab_default_15bp,30.0,-10.374496501747291,-11.910790163701579,0.9775498736528371,-0.9533902680593948,-0.975285551924666,0.0,0.0,0,100000.0407000407,2324.0320163451506,-0.9767596892953644,98280,-3.04848112416225,0.5138185485599046,0.26684247188775,1192,3.832797427652733,7.662379421221865,311.0,0.02461251003927342,0.025661560470245932,0.35191211385672155,-0.029944618571501214,-0.08509118439637729,0.0,0.0,0,100000.0407000407,96338.46622434237,-0.03661572985436634,98280,-0.0012226836994548307,1.0000032068282556,0.9999917073008923,1,0.003215434083601286,0.003215434083601286,311.0,-10.399109011786566,False
